dc          // 220       
da          // 218       
d3          // 211       
a9          // 169       
b2          // 178       
c4          // 196       
fd          // 253       
106         // 262       
104         // 260       
f7          // 247       
ee          // 238       
fb          // 251       
126         // 294       
11b         // 283       
12a         // 298       
12c         // 300       
159         // 345       
15c         // 348       
16e         // 366       
194         // 404       
16f         // 367       
15a         // 346       
12a         // 298       
124         // 292       
9f          // 159       
9d          // 157       
116         // 278       
a3          // 163       
98          // 152       
a8          // 168       
dc          // 220       
10d         // 269       
ef          // 239       
116         // 278       
ec          // 236       
e1          // 225       
e5          // 229       
e1          // 225       
e7          // 231       
ed          // 237       
ef          // 239       
120         // 288       
120         // 288       
11f         // 287       
da          // 218       
133         // 307       
145         // 325       
131         // 305       
141         // 321       
102         // 258       
112         // 274       
f2          // 242       
110         // 272       
10e         // 270       
112         // 274       
f1          // 241       
e8          // 232       
e1          // 225       
111         // 273       
ec          // 236       
ce          // 206       
ad          // 173       
100         // 256       
8e          // 142       
9b          // 155       
101         // 257       
107         // 263       
fd          // 253       
11a         // 282       
136         // 310       
12b         // 299       
13a         // 314       
180         // 384       
13f         // 319       
17e         // 382       
181         // 385       
156         // 342       
152         // 338       
138         // 312       
153         // 339       
153         // 339       
154         // 340       
10f         // 271       
112         // 274       
128         // 296       
12f         // 303       
151         // 337       
15c         // 348       
155         // 341       
141         // 321       
125         // 293       
ea          // 234       
de          // 222       
e2          // 226       
ee          // 238       
ea          // 234       
fa          // 250       
ef          // 239       
fd          // 253       
fc          // 252       
fb          // 251       
ef          // 239       
e6          // 230       
e6          // 230       
f0          // 240       
e3          // 227       
cf          // 207       
d2          // 210       
e9          // 233       
e5          // 229       
c8          // 200       
153         // 339       
e6          // 230       
e7          // 231       
eb          // 235       
eb          // 235       
d3          // 211       
d6          // 214       
d9          // 217       
11d         // 285       
120         // 288       
120         // 288       
10e         // 270       
105         // 261       
f3          // 243       
11b         // 283       
108         // 264       
104         // 260       
fd          // 253       
cb          // 203       
d0          // 208       
f0          // 240       
d5          // 213       
98          // 152       
82          // 130       
a4          // 164       
bb          // 187       
b9          // 185       
fb          // 251       
f8          // 248       
fa          // 250       
fa          // 250       
110         // 272       
11e         // 286       
11e         // 286       
11b         // 283       
141         // 321       
14b         // 331       
17b         // 379       
191         // 401       
19b         // 411       
1a0         // 416       
